Sp1	Sp2	obs.C-score	exp.C-score	SES_Cscore	pval_less	pval_greater
Alona guttata	Alona rectangula	99	168	-1.23701324204064	0.187581241875812	0.943105689431057
Alona guttata	Bosmina longirostris	99	168	-1.8827739556206	0.0511948805119488	0.99020097990201
Alona guttata	Ceriodaphnia sp.	234	176	1.17037481474793	0.938606139386061	0.21027897210279
Alona guttata	Chydorus sphaericus	50	156	-1.40253352984575	0.136286371362864	0.978202179782022
Alona guttata	Daphnia longispina complex	352	162	1.66626535342725	0.971602839716028	0.0914908509149085
Alona guttata	Daphnia magna	84	84	0.256836154276292	0.776622337766223	0.62043795620438
Alona guttata	Daphnia obtusa	210	210	1.48218663725789	0.975502449755025	0.143785621437856
Alona guttata	Daphnia pulex	308	240	2.28177772391505	0.996600339966003	0.0307969203079692
Alona guttata	Graptoleberis testudinaria	52	70	-1.01303462250406	0.306569343065693	0.931506849315068
Alona guttata	Leydigia quadrangularis	56	75	-0.152675633530725	0.649035096490351	0.775022497750225
Alona guttata	Pleuroxus aduncus	78	98	-0.572233294470685	0.455754424557544	0.847315268473153
Alona guttata	Pleuroxus truncatus	66	104	-1.77988454373251	0.0798920107989201	0.983401659834017
Alona guttata	Scapholeberis mucronata	252	252	0.895004273434401	0.891510848915108	0.281571842815718
Alona guttata	Simocephalus exspinosus	294	294	2.15749460280821	0.996000399960004	0.0396960303969603
Alona guttata	Simocephalus vetulus	90	210	-1.70531133816883	0.0798920107989201	0.980901909809019
Alona rectangula	Bosmina longirostris	77	140	-2.16871623013324	0.0247975202479752	0.995500449955005
Alona rectangula	Ceriodaphnia sp.	198	198	0.838917023139412	0.892710728927107	0.323467653234677
Alona rectangula	Chydorus sphaericus	106	52	-0.475725688187586	0.489351064893511	0.793920607939206
Alona rectangula	Daphnia longispina complex	330	140	1.82466957999922	0.984701529847015	0.0735926407359264
Alona rectangula	Daphnia magna	72	55	0.0778861508295533	0.72002799720028	0.69043095690431
Alona rectangula	Daphnia obtusa	180	154	1.2428910142529	0.958604139586041	0.213678632136786
Alona rectangula	Daphnia pulex	200	231	0.447872023523227	0.79042095790421	0.450854914508549
Alona rectangula	Graptoleberis testudinaria	30	60	-2.15489122168296	0.0532946705329467	0.993900609939006
Alona rectangula	Leydigia quadrangularis	33	65	-1.51392364155428	0.178482151784822	0.976202379762024
Alona rectangula	Pleuroxus aduncus	104	84	1.37021612906879	1	0.230876912308769
Alona rectangula	Pleuroxus truncatus	88	108	-0.429289021325327	0.497450254974503	0.806019398060194
Alona rectangula	Scapholeberis mucronata	152	210	-0.775664947963672	0.326967303269673	0.859414058594141
Alona rectangula	Simocephalus exspinosus	190	136	0.328393193986259	0.755724427557244	0.504249575042496
Alona rectangula	Simocephalus vetulus	132	110	0.136010619670728	0.71002899710029	0.60973902609739
Bosmina longirostris	Ceriodaphnia sp.	238	154	0.769775332591267	0.865913408659134	0.328067193280672
Bosmina longirostris	Chydorus sphaericus	150	318	-0.301832757716664	0.541545845415458	0.724627537246275
Bosmina longirostris	Daphnia longispina complex	252	290	-0.236512682884781	0.531846815318468	0.681831816818318
Bosmina longirostris	Daphnia magna	96	96	0.424297687274486	0.826217378262174	0.547745225477452
Bosmina longirostris	Daphnia obtusa	240	210	1.71985472690403	0.985001499850015	0.0934906509349065
Bosmina longirostris	Daphnia pulex	247	216	0.466902095052297	0.79032096790321	0.425357464253575
Bosmina longirostris	Graptoleberis testudinaria	26	102	-2.58004520948513	0.0160983901609839	0.999000099990001
Bosmina longirostris	Leydigia quadrangularis	45	64	-1.09982661726825	0.274572542745725	0.938906109389061
Bosmina longirostris	Pleuroxus aduncus	136	112	1.62649804106838	1	0.138786121387861
Bosmina longirostris	Pleuroxus truncatus	120	98	0.0232251406885083	0.673532646735326	0.656734326567343
Bosmina longirostris	Scapholeberis mucronata	170	170	-1.14138435716489	0.190880911908809	0.926507349265073
Bosmina longirostris	Simocephalus exspinosus	336	234	2.4458572492068	0.997300269973003	0.0198980101989801
Bosmina longirostris	Simocephalus vetulus	154	108	-0.0908339794598652	0.612138786121388	0.671132886711329
Ceriodaphnia sp.	Chydorus sphaericus	141	300	-0.669850374430285	0.377162283771623	0.834916508349165
Ceriodaphnia sp.	Daphnia longispina complex	161	225	-1.90235698798082	0.0368963103689631	0.990800919908009
Ceriodaphnia sp.	Daphnia magna	48	90	-1.9665825662847	0.0574942505749425	0.991500849915009
Ceriodaphnia sp.	Daphnia obtusa	117	165	-1.80849974873471	0.0560943905609439	0.985401459854015
Ceriodaphnia sp.	Daphnia pulex	270	304	0.376865264599944	0.755324467553245	0.456454354564544
Ceriodaphnia sp.	Graptoleberis testudinaria	120	95	1.50145880567704	1	0.176682331766823
Ceriodaphnia sp.	Leydigia quadrangularis	100	54	1.37404124724467	1	0.231376862313769
Ceriodaphnia sp.	Pleuroxus aduncus	133	133	0.829669313127104	0.908509149085092	0.367663233676632
Ceriodaphnia sp.	Pleuroxus truncatus	144	119	0.328775798961602	0.772122787721228	0.532046795320468
Ceriodaphnia sp.	Scapholeberis mucronata	192	221	-1.11202570106705	0.193980601939806	0.916508349165084
Ceriodaphnia sp.	Simocephalus exspinosus	224	288	-0.365215743403681	0.482251774822518	0.731426857314269
Ceriodaphnia sp.	Simocephalus vetulus	135	216	-1.05265390575131	0.235576442355764	0.914308569143086
Chydorus sphaericus	Daphnia longispina complex	480	288	2.90325669861731	0.998900109989001	0.0086991300869913
Chydorus sphaericus	Daphnia magna	244	0	2.63625720498751	0.997900209979002	0.0263973602639736
Chydorus sphaericus	Daphnia obtusa	265	265	1.25321020517644	0.94040595940406	0.176782321767823
Chydorus sphaericus	Daphnia pulex	392	336	2.20235449059067	0.989401059894011	0.036996300369963
Chydorus sphaericus	Graptoleberis testudinaria	0	59	-1.25967981126607	0.244575542445755	1
Chydorus sphaericus	Leydigia quadrangularis	0	122	-1.13409837089513	0.315668433156684	1
Chydorus sphaericus	Pleuroxus aduncus	0	57	-1.44917783811084	0.151084891510849	1
Chydorus sphaericus	Pleuroxus truncatus	0	112	-1.65143046503819	0.0892910708929107	1
Chydorus sphaericus	Scapholeberis mucronata	129	129	-1.08434605808974	0.217778222177782	0.924407559244076
Chydorus sphaericus	Simocephalus exspinosus	43	288	-1.98303684552734	0.027997200279972	0.997600239976002
Chydorus sphaericus	Simocephalus vetulus	51	275	-1.31129104923595	0.16978302169783	0.971202879712029
Daphnia longispina complex	Daphnia magna	30	132	-2.12497193564069	0.0291970802919708	0.997400259974003
Daphnia longispina complex	Daphnia obtusa	224	189	-0.486030915225896	0.432756724327567	0.767823217678232
Daphnia longispina complex	Daphnia pulex	140	338	-2.45444879077568	0.0048995100489951	0.999500049995001
Daphnia longispina complex	Graptoleberis testudinaria	216	64	2.40188735534601	1	0.023997600239976
Daphnia longispina complex	Leydigia quadrangularis	140	102	1.16280370784403	0.953904609539046	0.247475252474753
Daphnia longispina complex	Pleuroxus aduncus	128	204	-0.359739223563394	0.517148285171483	0.758924107589241
