POND_CODE,LAT,LONG
PL1-GRE,50.86362222,4.723430556
PL1-RED,50.86673333,4.698511111
PL1-YEL,50.87393611,4.696858333
PL2-GRE,50.96725278,4.735088889
PL2-RED,50.961596,4.708629
PL2-YEL,50.96014722,4.739594444
PL3-GRE,50.848325,4.892825
PL3-RED,50.83590278,4.907333333
PL3-YEL,50.843175,4.860761111
PL4-GRE,50.86717,4.535646
PL4-RED,50.87527778,4.504444444
PL4-YEL,50.88208889,4.546222222
PL5-GRE,51.099557,3.377217
PL5-RED,51.08702222,3.450572222
PL5-YEL,51.08053056,3.442036111
PL6-GRE,51.21755556,4.738066667
PL6-RED,51.21917222,4.702294444
PL6-YEL,51.238325,4.715980556
PL7-GRE,51.121135,4.709656
PL7-RED,51.132575,4.731966667
PL7-YEL,51.14345833,4.710102778
PL8-GRE,51.0553,3.830880556
PL8-RED,51.053938,3.801729
PL8-YEL,51.052125,3.834716667
PL9-GRE,51.093272,4.327963889
PL9-RED,51.07035278,4.349161111
PL9-YEL,51.08466667,4.324811111
PL10-GRE,51.020738,4.460025
PL10-RED,51.05428611,4.444625
PL10-YEL,51.02356944,4.484533333
PL11-GRE,50.843969,3.61585
PL11-RED,50.84605,3.615833333
PL11-YEL,50.85204444,3.618855556
PL12-GRE,51.130408,4.517886
PL12-RED,51.11716111,4.475122222
PL12-YEL,51.134725,4.480525
PL13-GRE,50.94319722,4.063794444
PL13-RED,50.94305278,4.058022222
PL13-YEL,50.93859167,4.028230556
PL14-GRE,50.94895,3.720102778
PL14-RED,50.95616667,3.702536111
PL14-YEL,50.96004444,3.718902778
PL15-GRE,51.05747778,3.716
PL15-RED,51.038975,3.723419444
PL15-YEL,51.042667,3.730572
PL16-GRE,50.799199,4.529186111
PL16-RED,50.776068,4.52462
PL16-YEL,50.79711111,4.549427778
PL17-GRE,51.017409,3.943389
PL17-RED,50.99100556,3.997263889
PL17-YEL,51.04482778,3.946894444
PL18-GRE,51.178098,4.160957
PL18-RED,51.16239722,4.154108333
PL18-YEL,51.15622778,4.159480556
PL19-GRE,50.90701389,3.827819444
PL19-RED,50.88003056,3.831769444
PL19-YEL,50.895646,3.846749
PL20-GRE,51.313127,4.532647
PL20-RED,51.29472222,4.490913889
PL20-YEL,51.277972,4.493756
PL21-GRE,50.81646389,4.905747222
PL21-RED,50.807173,4.956267
PL21-YEL,50.80737222,4.932711111
PL22-GRE,51.11449444,4.220077778
PL22-RED,51.10074722,4.230980556
PL22-YEL,51.11378056,4.230633333
PL23-GRE,50.80876944,4.724988889
PL23-RED,50.80773056,4.656527778
PL23-YEL,50.824039,4.667265
PL24-GRE,50.940353,4.879131
PL24-RED,50.93049444,4.858563889
PL24-YEL,50.91920556,4.826836111
PL25-GRE,50.77653056,3.969088889
PL25-RED,50.784175,3.916038889
PL25-YEL,50.7693,3.953166667
PL26-GRE,51.19416667,4.428333333
PL26-RED,51.171775,4.414986111
PL26-YEL,51.15884722,4.407777778
PL27-GRE,50.82050278,4.365111111
PL27-RED,50.840432,4.398642
PL27-YEL,50.84025278,4.398713889
Gent CP B2,51.03665833,3.718005556
Mech KT2,51.02391667,4.483836111
TP. Blap1.Riv,51.28254722,3.355413889
