,sites,LAT,LONG,species
sp 1,PL14_YEL,50.96004444,3.718902778,Alona costata
sp 2,PL10_RED,51.05428611,4.444625,Alona guttata
sp 2,PL11_GRE,50.84445,3.614216667,Alona guttata
sp 2,PL11_RED,50.84605,3.615833333,Alona guttata
sp 2,PL12_RED,51.11716111,4.475122222,Alona guttata
sp 2,PL12_YEL,51.134725,4.480525,Alona guttata
sp 2,PL14_GRE,50.94895,3.720102778,Alona guttata
sp 2,PL14_RED,50.95616667,3.702536111,Alona guttata
sp 2,PL2_RED,50.95791944,4.735597222,Alona guttata
sp 2,PL20_YEL,51.27767778,4.494372222,Alona guttata
sp 2,PL21_RED,50.80693889,4.956116667,Alona guttata
sp 2,PL21_YEL,50.80737222,4.932711111,Alona guttata
sp 2,PL23_RED,50.80773056,4.656527778,Alona guttata
sp 2,PL26_RED,51.171775,4.414986111,Alona guttata
sp 2,PL3_YEL,50.843175,4.860761111,Alona guttata
sp 2,PL9_RED,51.07035278,4.349161111,Alona guttata
sp 3,PL1_GRE,50.86362222,4.723430556,Alona quadrangularis
sp 4,PL14_RED,50.95616667,3.702536111,Alona rectangula
sp 4,PL15_GRE,51.05747778,3.716,Alona rectangula
sp 4,PL15_RED,51.038975,3.723419444,Alona rectangula
sp 4,PL18_GRE,51.17915,4.159555556,Alona rectangula
sp 4,PL19_YEL,50.89608056,3.844738889,Alona rectangula
sp 4,PL2_RED,50.95791944,4.735597222,Alona rectangula
sp 4,PL21_YEL,50.80737222,4.932711111,Alona rectangula
sp 4,PL22_YEL,51.11378056,4.230633333,Alona rectangula
sp 4,PL23_RED,50.80773056,4.656527778,Alona rectangula
sp 4,PL24_RED,50.93049444,4.858563889,Alona rectangula
sp 4,PL24_YEL,50.91920556,4.826836111,Alona rectangula
sp 4,PL5_RED,51.08702222,3.450572222,Alona rectangula
sp 4,PL6_YEL,51.238325,4.715980556,Alona rectangula
sp 6,PL12_YEL,51.134725,4.480525,Alonella exigua
sp 6,PL14_GRE,50.94895,3.720102778,Alonella exigua
sp 6,PL26_RED,51.171775,4.414986111,Alonella exigua
sp 5,PL17_YEL,51.04482778,3.946894444,Alonella exisa
sp 5,PL22_YEL,51.11378056,4.230633333,Alonella exisa
sp 7,PL1_GRE,50.86362222,4.723430556,Bosmina longirostris
sp 7,PL10_YEL,51.02356944,4.484533333,Bosmina longirostris
sp 7,PL11_GRE,50.84445,3.614216667,Bosmina longirostris
sp 7,PL11_RED,50.84605,3.615833333,Bosmina longirostris
sp 7,PL11_YEL,50.85204444,3.618855556,Bosmina longirostris
sp 7,PL15_RED,51.038975,3.723419444,Bosmina longirostris
sp 7,PL16_RED,50.77799444,4.521730556,Bosmina longirostris
sp 7,PL2_RED,50.95791944,4.735597222,Bosmina longirostris
sp 7,PL20_RED,51.29472222,4.490913889,Bosmina longirostris
sp 7,PL21_RED,50.80693889,4.956116667,Bosmina longirostris
sp 7,PL21_YEL,50.80737222,4.932711111,Bosmina longirostris
sp 7,PL23_RED,50.80773056,4.656527778,Bosmina longirostris
sp 7,PL4_RED,50.87527778,4.504444444,Bosmina longirostris
sp 7,PL5_RED,51.08702222,3.450572222,Bosmina longirostris
sp 7,PL6_GRE,51.21755556,4.738066667,Bosmina longirostris
sp 7,PL6_RED,51.21917222,4.702294444,Bosmina longirostris
sp 7,PL6_YEL,51.238325,4.715980556,Bosmina longirostris
sp 8,GENT_B,51.03665833,3.718005556,Ceriodaphnia sp.
sp 8,MECH_KT2,51.02391667,4.483836111,Ceriodaphnia sp.
sp 8,PL11_YEL,50.85204444,3.618855556,Ceriodaphnia sp.
sp 8,PL12_YEL,51.134725,4.480525,Ceriodaphnia sp.
sp 8,PL13_RED,50.94305278,4.058022222,Ceriodaphnia sp.
sp 8,PL14_YEL,50.96004444,3.718902778,Ceriodaphnia sp.
sp 8,PL15_RED,51.038975,3.723419444,Ceriodaphnia sp.
